    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
   71 6527.0000        3     2.50000e+02    -3.96151e+03    -5.22741e-07     2.50000e+02    -1.83517e+03    -2.42160e-07     1.50000e+02     1.04287e+03     4.19923e+01     1.50000e+02     1.51646e+03     2.45689e+02     1.50000e+02     6.15295e+02     1.91605e+02     1.50000e+02     1.57843e+03     1.36260e+02
   72 6627.0000        3     2.50000e+02    -3.97469e+03    -5.24481e-07     2.50000e+02    -1.83920e+03    -2.42692e-07     1.50000e+02     1.04942e+03     4.10431e+01     1.50000e+02     1.52290e+03     2.43566e+02     1.50000e+02     6.23181e+02     1.88450e+02     1.50000e+02     1.58912e+03     1.33819e+02
   73 6727.0000        2     2.50000e+02    -3.98756e+03    -5.26179e-07     2.50000e+02    -1.84314e+03    -2.43211e-07     1.50000e+02     1.05571e+03     4.01304e+01     1.50000e+02     1.52909e+03     2.41536e+02     1.50000e+02     6.30887e+02     1.85377e+02     1.50000e+02     1.59950e+03     1.31448e+02
   74 6827.0000        2     2.50000e+02    -4.00011e+03    -5.27836e-07     2.50000e+02    -1.84698e+03    -2.43719e-07     1.50000e+02     1.06177e+03     3.92509e+01     1.50000e+02     1.53506e+03     2.39582e+02     1.50000e+02     6.38465e+02     1.82392e+02     1.50000e+02     1.60955e+03     1.29152e+02
   75 6927.0000        3     2.50000e+02    -4.01238e+03    -5.29454e-07     2.50000e+02    -1.85075e+03    -2.44216e-07     1.50000e+02     1.06759e+03     3.84051e+01     1.50000e+02     1.54083e+03     2.37699e+02     1.50000e+02     6.45948e+02     1.79479e+02     1.50000e+02     1.61929e+03     1.26936e+02
   76 7027.0000        2     2.50000e+02    -4.02436e+03    -5.31035e-07     2.50000e+02    -1.85444e+03    -2.44703e-07     1.50000e+02     1.07318e+03     3.75912e+01     1.50000e+02     1.54643e+03     2.35882e+02     1.50000e+02     6.53397e+02     1.76633e+02     1.50000e+02     1.62873e+03     1.24796e+02
   77 7127.0000        3     2.50000e+02    -4.03607e+03    -5.32581e-07     2.50000e+02    -1.85807e+03    -2.45182e-07     1.50000e+02     1.07857e+03     3.68054e+01     1.50000e+02     1.55186e+03     2.34125e+02     1.50000e+02     6.60830e+02     1.73846e+02     1.50000e+02     1.63785e+03     1.22731e+02
   78 7227.0000        3     2.50000e+02    -4.04752e+03    -5.34091e-07     2.50000e+02    -1.86164e+03    -2.45653e-07     1.50000e+02     1.08376e+03     3.60473e+01     1.50000e+02     1.55716e+03     2.32431e+02     1.50000e+02     6.68210e+02     1.71103e+02     1.50000e+02     1.64665e+03     1.20754e+02
   79 7327.0000        3     2.50000e+02    -4.05871e+03    -5.35568e-07     2.50000e+02    -1.86516e+03    -2.46118e-07     1.50000e+02     1.08876e+03     3.53151e+01     1.50000e+02     1.56234e+03     2.30799e+02     1.50000e+02     6.75470e+02     1.68416e+02     1.50000e+02     1.65515e+03     1.18848e+02
   80 7427.0000        2     2.50000e+02    -4.06966e+03    -5.37013e-07     2.50000e+02    -1.86862e+03    -2.46575e-07     1.50000e+02     1.09358e+03     3.46076e+01     1.50000e+02     1.56738e+03     2.29225e+02     1.50000e+02     6.82624e+02     1.65786e+02     1.50000e+02     1.66338e+03     1.17012e+02
   81 7527.0000        2     2.50000e+02    -4.08039e+03    -5.38429e-07     2.50000e+02    -1.87204e+03    -2.47026e-07     1.50000e+02     1.09820e+03     3.39285e+01     1.50000e+02     1.57230e+03     2.27716e+02     1.50000e+02     6.89766e+02     1.63181e+02     1.50000e+02     1.67136e+03     1.15237e+02
